Agency_Authority,Agency_Jurisdiction
Public Safety,State
Police,Municipal
Forest Service,State
ATF,Federal
DEA,Federal
FBI,Federal
Marshals,Federal
Fish and Wildlife,State
Court and Corrections,County
Park Service,State
"Colleges, Universities",State
Training Academies,County
County,County
Sheriff,County
Other County Agencies (Non Security),County
DHS,Federal
"Harbors, Dams, Waterways, and Resevoirs",Municipal
Highway Patrol,State
Other State Agencies (Non Security),State
Drug Task Force,Various
Constable,County
Unknown,Unknown
Indian,Tribal
Dept of Interior,Federal
DOJ,Federal
Fish and WildLife,State
Fire Dept,Municipal
District Attorney,Various
Other Federal Agencies (Non Security),Federal
Secret Service,Federal
Trooper,State
NA,NA
Dept of State,Federal
Local Services,Municipal
Treasury,Federal
Unusual,Unusual
CIA,Federal
