"","X","Station.Name","lat","lon","fcc.url","getURL","Block.FIPS","County.FIPS","County.name","State.FIPS","State.code","State.name",".attrs.status",".attrs.executionTime","messages"
"1",1,"ALASKA DEPT OF PUBLIC SAFETY",61.1797901,-149.7759607,"http://data.fcc.gov/api/block/find?latitude=61.1797901&longitude=-149.7759607&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""607""><Block FIPS=""020200003001169""/><County FIPS=""02020"" name=""Anchorage""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020200003001169","02020","Anchorage","02","AK","Alaska","OK","607",NA
"2",2,"FAIRBANKS POLICE DEPT",64.8392789,-147.7210903,"http://data.fcc.gov/api/block/find?latitude=64.8392789&longitude=-147.7210903&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""209""><Block FIPS=""020900001002029""/><County FIPS=""02090"" name=""Fairbanks North Star""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020900001002029","02090","Fairbanks North Star","02","AK","Alaska","OK","209",NA
"3",3,"JUNEAU POLICE DEPT",58.3558339,-134.5078529,"http://data.fcc.gov/api/block/find?latitude=58.3558339&longitude=-134.5078529&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""152""><Block FIPS=""021100004003007""/><County FIPS=""02110"" name=""Juneau""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","021100004003007","02110","Juneau","02","AK","Alaska","OK","152",NA
"4",4,"KETCHIKAN POLICE DEPT",55.342803,-131.6476769,"http://data.fcc.gov/api/block/find?latitude=55.342803&longitude=-131.6476769&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""119""><Block FIPS=""021300003002017""/><County FIPS=""02130"" name=""Ketchikan Gateway""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","021300003002017","02130","Ketchikan Gateway","02","AK","Alaska","OK","119",NA
"5",5,"KODIAK POLICE DEPT",57.8046774,-152.373273,"http://data.fcc.gov/api/block/find?latitude=57.8046774&longitude=-152.373273&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""152""><Block FIPS=""021500002003004""/><County FIPS=""02150"" name=""Kodiak Island""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","021500002003004","02150","Kodiak Island","02","AK","Alaska","OK","152",NA
"6",6,"NORTH POLE POLICE DEPT",64.7548766,-147.3512167,"http://data.fcc.gov/api/block/find?latitude=64.7548766&longitude=-147.3512167&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""125""><Block FIPS=""020900016003023""/><County FIPS=""02090"" name=""Fairbanks North Star""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020900016003023","02090","Fairbanks North Star","02","AK","Alaska","OK","125",NA
"7",8,"PALMER POLICE DEPT",42.1861958,-72.3469956,"http://data.fcc.gov/api/block/find?latitude=42.1861958&longitude=-72.3469956&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""95""><Block FIPS=""250138102002034""/><County FIPS=""25013"" name=""Hampden""/><State FIPS=""25"" code=""MA"" name=""Massachusetts""/></Response>","250138102002034","25013","Hampden","25","MA","Massachusetts","OK","95",NA
"8",9,"US DOJ ATF ANCHORAGE",61.2180556,-149.9002778,"http://data.fcc.gov/api/block/find?latitude=61.2180556&longitude=-149.9002778&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""160""><Block FIPS=""020200011001015""/><County FIPS=""02020"" name=""Anchorage""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020200011001015","02020","Anchorage","02","AK","Alaska","OK","160",NA
"9",10,"US DOJ DEA ANCHORAGE",61.2180556,-149.9002778,"http://data.fcc.gov/api/block/find?latitude=61.2180556&longitude=-149.9002778&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""115""><Block FIPS=""020200011001015""/><County FIPS=""02020"" name=""Anchorage""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020200011001015","02020","Anchorage","02","AK","Alaska","OK","115",NA
"10",11,"US DOJ FBI ANCHORAGE",61.2180556,-149.9002778,"http://data.fcc.gov/api/block/find?latitude=61.2180556&longitude=-149.9002778&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""100""><Block FIPS=""020200011001015""/><County FIPS=""02020"" name=""Anchorage""/><State FIPS=""02"" code=""AK"" name=""Alaska""/></Response>","020200011001015","02020","Anchorage","02","AK","Alaska","OK","100",NA
