"","address","lon","lat"
"1","WATERVILLE POLICE DEPT",-69.629038,44.549714
"2","WICHITA COUNTY SHERIFF'S DEPT",-97.3401172,37.694573
"3","WILSON COUNTY SHERIFF DEPT",-86.2897961,36.2130042
"4","WINDOM POLICE DEPT",-95.1195172,43.8656108
"5","WOODSON COUNTY SHERIFF DEPT",-95.8142885,37.9197853
"6","WYANDOTTE COUNTY SHERIFF OFFICE",-94.6282238,39.1131268
"7","YATES CENTER POLICE DEPT",-95.7333175,37.8811472
"8","ALLEN COUNTY SHERIFF DEPT",-85.1703681,41.1994961
"9","ANDERSON COUNTY SHERIFF DEPT",-82.6850369,34.5352496
"10","BARDSTOWN POLICE DEPT",-85.4505014,37.8070037
"11","BARDWELL POLICE DEPT",-89.0097869,36.8706111
"12","BARREN COUNTY SHERIFF DEPT",-85.8486236,36.9676836
"13","BATH COUNTY SHERIFF DEPT",-77.2953209,42.3495372
"14","BEATTYVILLE POLICE DEPT",-83.7074584,37.5683089
"15","BELLEVUE POLICE DEPT",-122.1921952,47.6143708
"16","BEREA POLICE DEPT",-81.8531615,41.3649591
"17","BOYLE COUNTY SHERIFF DEPT",-84.7733754,37.6464667
"18","BRACKEN COUNTY SHERIFF DEPT",-84.059029,38.7117016
"19","BRANDENBURG POLICE DEPT",-86.1739115,37.9986676
"20","BROWNSVILLE POLICE DEPT",-97.4634702,25.9063455
"21","BULLITT COUNTY SHERIFF DEPT",-85.684578,37.9842107
"22","CAMPBELL CO SHERIFF'S OFFICE",-79.1024683,37.2776205
"23","CAMPBELLSVILLE POLICE DEPT",-85.3459821,37.3407792
"24","CARLISLE COUNTY SHERIFF DEPT",-82.1358624,41.3462854
"25","CARTER COUNTY SHERIFF'S OFFICE",-97.1287055,34.1705838
"26","CASEY COUNTY SHERIFF DEPT",-84.9403745,37.3178184
"27","CENTERTOWN POLICE DEPT",-94.2932483,36.3561661
"28","CLOVERPORT POLICE DEPT",-86.6323835,37.8370314
"29","CORBIN POLICE DEPT",-84.0948455,36.9419951
"30","COVINGTON POLICE DEPT",-84.5061456,39.0672146
"31","CUMBERLAND POLICE DEPARTMENT",-71.401862,41.929293
"32","CYNTHIANA POLICE DEPT",-84.2941013,38.3903526
"33","DAYTON POLICE DEPT",-84.1975878,39.7589307
"34","EDMONSON COUNTY SHERIFF DEPT",-86.2158497,37.1941682
"35","ELKTON POLICE DEPT",-75.8307411,39.6104936
"36","ERLANGER POLICE DEPT",-84.5085536,39.0836712
"37","ESTILL COUNTY SHERIFF'S DEPT",-83.9751952,37.6998209
"38","EUBANK POLICE DEPT",NA,NA
"39","EVARTS POLICE DEPT",-83.1931178,36.8642438
"40","FALMOUTH POLICE DEPARTMENT",-70.2457884,43.7356859
"41","FLEMING COUNTY SHERIFF DEPT",-83.7338076,38.4222995
"42","FORT MITCHELL POLICE DEPT",-84.5545681,39.0409937
"43","FORT THOMAS POLICE DEPT",-84.4489352,39.0811528
"44","FRANKLIN COUNTY SHERIFF OFFICE",-86.8850166,35.9012038
"45","GALLATIN COUNTY SHERIFF DEPT",-86.4467557,36.3865529
"46","GLASGOW POLICE DEPT",-85.911635,36.9944857
"47","GRANT COUNTY SHERIFF'S OFFICE",-79.1231872,38.9961306
"48","GRAYSON COUNTY SHERIFF DEPT",-81.150262,36.6233712
"49","GREATER HARDIN COUNTY NTF",NA,NA
"50","GREEN COUNTY SHERIFF DEPT",-82.8302569,36.1628082
"51","GREENSBURG POLICE DEPT",-79.5434098,40.2989325
"52","GREENVILE POLICE DEPT",-82.396102,34.856487
"53","HARDINSBURG POLICE DEPT",-86.461021,37.7806197
"54","HARRODSBURG POLICE DEPT",-84.8413174,37.7671189
"55","HAWESVILLE POLICE DEPT",-86.5408734,34.6607635
"56","HAZARD POLICE DEPT",-83.1952906,37.2511694
"57","HENRY COUNTY SHERIFF'S DEPT",-79.8918264,36.7419913
"58","HICKMAN COUNTY SHERIFF'S OFFICE",-89.1833478,36.5496727
"59","HILLVIEW POLICE DEPT",-85.6771599,38.0791158
"60","HOPKINSVILLE POLICE DEPT",-87.4874022,36.8712254
"61","INDEPENDENCE POLICE DEPT",-94.4138016,39.0925035
"62","INEZ CITY POLICE",NA,NA
"63","IRVINE POLICE DEPT",-117.8263251,33.6861393
"64","JACKSON  POLICE DEPARTMENT",-74.3541491,40.1099081
"65","JEFFERSONTOWN POLICE DEPT",-85.5652552,38.1930292
"66","JESSAMINE COUNTY SHERIFF",-84.5747844,37.8806079
"67","KENTON COUNTY  DETENTION CENTER",-84.564147,38.9863872
"68","KENTON COUNTY SHERIFF'S OFFICE",-84.509265,39.088284
"69","KY DEPT OF FISH AND WILDLIFE",-86.0483906,37.9438861
"70","KY STATE POLICE",-86.4772018,36.950482
"71","KY STATE UNIVERSITY POLICE DEPT",-84.4471633,39.0750607
"72","LANCASTER POLICE DEPT",-76.3078422,40.0413105
"73","LAUREL COUNTY SHERIFF DEPT",-84.1857115,37.0693489
"74","LAWRENCEBURG POLICE DEPT",-87.3366379,35.2425099
"75","LEITCHFIELD POLICE DEPT",-86.2937541,37.4794307
"76","LESLIE COUNTY SHERIFF DEPT",-83.3789747,37.1618771
"77","LETCHER COUNTY POLICE DEPT",-82.827044,37.1184197
"78","LEWISBURG POLICE DEPT",-86.788026,35.4506439
"79","LEXINGTON FAYETTE URBAN CTY POLICE",-84.5037164,38.0405837
"80","LIBERTY POLICE DEPT",-94.4187883,39.2457342
"81","LIVINGSTON POLICE DEPARTMENT",-74.3143992,40.7824094
"82","LONDON POLICE DEPT",-83.4463003,39.8851216
"83","LOUISVILLE METRO CORRECTIONS DEPT",-85.7584557,38.2526647
"84","LOUISVILLE METRO POLICE DEPT",-85.7616951,38.2547241
"85","LUDLOW POLICE DEPT",-72.4721959,42.1755372
"86","LYNNVIEW POLICE DEPT",-85.7102726,38.1765918
"87","MADISONVILLE POLICE DEPT",-87.4971441,37.3283958
"88","MARTIN POLICE DEPT",-88.849928,36.342386
"89","MASON COUNTY SHERIFF'S OFFICE",-84.4558931,42.5904256
"90","MAYFIELD POLICE DEPT",-75.6659016,41.4108493
"91","MEADE COUNTY SHERIFF DEPT",NA,NA
