"","X","Station.Name","lat","lon","fcc.url","getURL","Block.FIPS","County.FIPS","County.name","State.FIPS","State.code","State.name",".attrs.status",".attrs.executionTime","messages"
"35",40,"BERRY POLICE DEPT",-34.77735,150.692868,"http://data.fcc.gov/api/block/find?latitude=-34.77735&longitude=150.692868&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""81""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","81",NA
"109",118,"GROVE HILL POLICE DEPT",8.5691279,76.8714899,"http://data.fcc.gov/api/block/find?latitude=8.5691279&longitude=76.8714899&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""142""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","142",NA
"255",272,"BLACK ROCK POLICE DEPT",53.2997932,-6.1775967,"http://data.fcc.gov/api/block/find?latitude=53.2997932&longitude=-6.1775967&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""189""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","189",NA
"276",295,"DOVER MARSHALS OFFICE",51.1278758,1.3134027,"http://data.fcc.gov/api/block/find?latitude=51.1278758&longitude=1.3134027&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""99""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","99",NA
"464",498,"US DHS DBP SAN LUIS",-33.3022202,-66.3367976,"http://data.fcc.gov/api/block/find?latitude=-33.3022202&longitude=-66.3367976&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""76""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","76",NA
"467",503,"US DOI NPS HEREFORD",52.056398,-2.715974,"http://data.fcc.gov/api/block/find?latitude=52.056398&longitude=-2.715974&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""86""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","86",NA
"472",508,"WESTERN COLLEGE POLICE DEPT",-33.9020726,18.6221394,"http://data.fcc.gov/api/block/find?latitude=-33.9020726&longitude=18.6221394&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""91""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","91",NA
"513",551,"CA CORRECTIONAL SAFETY",43.7353763,-79.3263571,"http://data.fcc.gov/api/block/find?latitude=43.7353763&longitude=-79.3263571&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""134""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","134",NA
"543",582,"CRESCENT CITY POLICE DEPT",32.9853985,70.606395,"http://data.fcc.gov/api/block/find?latitude=32.9853985&longitude=70.606395&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""163""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","163",NA
"547",586,"DEL NORTE COUNTY SHERIFF",54.0891597,-1.0067805,"http://data.fcc.gov/api/block/find?latitude=54.0891597&longitude=-1.0067805&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""153""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","153",NA
"576",615,"GARDEN GROVE POLICE DEPT",24.8577848,67.0289381,"http://data.fcc.gov/api/block/find?latitude=24.8577848&longitude=67.0289381&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""147""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","147",NA
"600",639,"KERMAN POLICE DEPT",30.2839379,57.0833628,"http://data.fcc.gov/api/block/find?latitude=30.2839379&longitude=57.0833628&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""75""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","75",NA
"601",640,"KERN COUNTY DA",50.0871848,8.0142561,"http://data.fcc.gov/api/block/find?latitude=50.0871848&longitude=8.0142561&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""74""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","74",NA
"695",740,"SAN PABLO POLICE DEPT",17.4479089,121.7947072,"http://data.fcc.gov/api/block/find?latitude=17.4479089&longitude=121.7947072&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""210""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","210",NA
"716",762,"SOUTH GATE POLICE DEPT",21.4216825,109.1222199,"http://data.fcc.gov/api/block/find?latitude=21.4216825&longitude=109.1222199&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""95""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","95",NA
"763",817,"YUBA CITY POLICE DEPT",4.837411,31.6029239,"http://data.fcc.gov/api/block/find?latitude=4.837411&longitude=31.6029239&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""1455""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","1455",NA
"765",819,"AGUILAR MARSHAL'S OFFICE",37.5138455,-4.6566596,"http://data.fcc.gov/api/block/find?latitude=37.5138455&longitude=-4.6566596&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""172""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","172",NA
"941",1007,"UNIV OF CT POLICE DEPT",9.6707069,76.5569022,"http://data.fcc.gov/api/block/find?latitude=9.6707069&longitude=76.5569022&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""149""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","149",NA
"998",1071,"BRADFORD COUNTY SHERIFF DEPT",53.795984,-1.759398,"http://data.fcc.gov/api/block/find?latitude=53.795984&longitude=-1.759398&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""105""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","105",NA
"1091",1166,"MIDWAY POLICE DEPT",14.418039,121.0439556,"http://data.fcc.gov/api/block/find?latitude=14.418039&longitude=121.0439556&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""72""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","72",NA
"1186",1265,"BALL GROUND POLICE DEPT",20.9263,77.7448,"http://data.fcc.gov/api/block/find?latitude=20.9263&longitude=77.7448&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""168""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","168",NA
"1313",1401,"IVEY POLICE DEPT",6.6285155,3.3222046,"http://data.fcc.gov/api/block/find?latitude=6.6285155&longitude=3.3222046&showall=[true]","<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><Response xmlns=""http://data.fcc.gov/api"" status=""OK"" executionTime=""581""><Block/><County/><State/></Response>",NA,NA,NA,NA,NA,NA,"OK","581",NA
