"","X","Station.Name","lon","lat"
"1",7,"NPS, DENALI NATIONAL PARK LAW ENF",NA,NA
"2",14,"AL DEPT OF CONSERV RES MARINE DIV",NA,NA
"3",19,"AL IRONWORKS TANNEHILL RANGERS",NA,NA
"4",21,"AL UNIV OF MONTEVALLO POLICE DEPT",NA,NA
"5",33,"ATF REDSTONE ARSENAL",NA,NA
"6",61,"CHEROKEE COUNTY NARCOTICS",NA,NA
"7",90,"DHS-HOMELAND SEC INV",NA,NA
"8",98,"ETOWAH COUNTY DTF",NA,NA
"9",113,"GERALDINE POLICE DEPT",NA,NA
"10",163,"MOBILE COMM CORRECTION CENTER",NA,NA
"11",239,"US DOJ ATF REDSTONE ARSENAL",NA,NA
"12",240,"US DOJ FBI BIRMINGHAM DIVISION",NA,NA
"13",241,"US MARSHAL SERVICE GULF COAST FTF",NA,NA
"14",251,"14TH JUDICIAL DIST DTF",NA,NA
"15",260,"ASHLEY COUNTY SHERIFF DEPT",NA,NA
"16",266,"BEEBE POLICE DEPT",NA,NA
"17",271,"BLACK RIVER TECH COLLEGE LE ACAD",NA,NA
"18",278,"CAMP ROBINSON DEPT OF PUBLIC SAFETY",NA,NA
"19",291,"DAVALLS BLUFF POLICE DEPT",NA,NA
"20",304,"FOREMAN MARSHAL'S OFFICE",NA,NA
"21",324,"HIGGINSON POLICE DEPARTMENT",NA,NA
"22",368,"NW ARKANSAS COMMUNITY COLLEGE PD",NA,NA
"23",383,"POINSETT COUNTY  SHERIFF  OFFICE",NA,NA
"24",398,"SHARP COUNTY SHERIFF DEPT",NA,NA
"25",410,"UNIV OF AR MEDICAL SCIENCES POLICE",NA,NA
"26",438,"COCOPAH TRIBAL POLICE DEPT",NA,NA
"27",460,"MOHAVE CO PARKS LAW ENF",NA,NA
"28",462,"NATIONAL PARK SERVICE GLEN CANYON",NA,NA
"29",469,"PIMA COLLEGE POLICE DEPT",NA,NA
"30",490,"TOMBSTONE MARSHAL DEPT",NA,NA
"31",494,"US DEPT OF AGRICULTURE US FOREST SV",NA,NA
"32",495,"US DHS CBP SELLS",NA,NA
"33",496,"US DHS CBP TUCSON AIR",NA,NA
"34",497,"US DHS CBP TUCSON HQ SECTOR",NA,NA
"35",501,"US DOI NPS GLEN CANYON  REC AREA",NA,NA
"36",502,"US DOI NPS GRAND CANYON  PARK",NA,NA
"37",534,"BALDWIN PARK SCHOOL POLICE DEPT",NA,NA
"38",549,"BUTTE COLLEGE POLICE DEPT",NA,NA
"39",561,"CARRIZO GORGE RAILROAD POLICE DEPT",NA,NA
"40",642,"KERN HIGH SCHOOL DIST POLICE",NA,NA
"41",661,"LOS ANGELES SCHOOL POLICE DEPT",NA,NA
"42",663,"LOS GATOS MONTE SERENO POLICE",NA,NA
"43",713,"RESIGHINI RANCHERIA TRIBAL PD",NA,NA
"44",725,"SADDLEBACK COLLEGE POLICE",NA,NA
"45",734,"SAN JOAQUIN DELTA COLLEGE POLICE",NA,NA
"46",760,"SONOMA COUNTY SHERIFF DEPT",NA,NA
"47",765,"STALLION SPRINGS POLICE DEPT",NA,NA
"48",785,"US DHS CBP FORCE OPTIONS TRNG",NA,NA
"49",788,"US DHS ICE EL CENTRO",NA,NA
"50",789,"US DHS ICE ERO SPEC RESPONSE TEAM",NA,NA
"51",793,"US DOI NPS CLEVELAND NATL FOREST",NA,NA
"52",794,"US DOI NPS GOLDEN GATE NATL REC",NA,NA
"53",795,"US DOI NPS YOSEMITE",NA,NA
"54",796,"US DOJ ATF SPECIAL RESPONSE TEAM 4",NA,NA
"55",822,"ARCHULETA COUNTY SHERIFF DEPT",NA,NA
"56",824,"AURARIA POLICE DEPT",NA,NA
"57",827,"BACA COUNTY SHERIFF'S OFFICE",NA,NA
"58",837,"CHAFFEE COUNTY SHERIFF DEPT",NA,NA
"59",848,"COSTILLA COUNTY SHERIFF DEPT",NA,NA
"60",883,"HOTCHKISS MARSHAL'S OFFICE",NA,NA
"61",943,"US DHS ICE PUEBLO",NA,NA
