"","address","lon","lat"
"38","EUBANK POLICE DEPT",NA,NA
"49","GREATER HARDIN COUNTY NTF",NA,NA
"62","INEZ CITY POLICE",NA,NA
"91","MEADE COUNTY SHERIFF DEPT",NA,NA
"93","MOREHEAD STATE UNVERSITY POLICE",NA,NA
"127","TODD COUNTY SHERIFF DEPT",NA,NA
"136","USDA FOREST SERVICE LEI WINCHESTER",NA,NA
"144","WESTERN KY UNIVERSITY POLICE DEPT",NA,NA
"155","BEAUREGARD PARISH SHERIFF DEPT",NA,NA
"173","EAST BATON ROUGE DA'S OFFICE",NA,NA
"199","LIVINGSTON PARISH SHERIFF DEPT",NA,NA
"200","LSU ALEXANDRIA POLICE DEPT",NA,NA
"205","NEW ROADS POLICE DEPT",NA,NA
"221","SAINT JOHN PARISH SHERIFF DEPT",NA,NA
"237","TENSAS BASIN LEVEE DISTRICT POLICE",NA,NA
"240","UNIV OF LA  MONROE POLICE DEPT",NA,NA
"244","VERNON PARISH SHERIFF DEPT",NA,NA
"246","WEBSTER PARISH SHERIFF DEPT",NA,NA
"326","SALEM STATE COLLEGE POLICE DEPT",NA,NA
"346","WENTWORTH INST OF TECH POLICE DEPT",NA,NA
"371","COPPIN STATE COLLEGE POLICE DEPT",NA,NA
"380","GARRETT COUNTY SHERIFF DEPT",NA,NA
"389","MD DEPT OF GENERAL SERVICES POLICE",NA,NA
"390","MD DNR POLICE DEPT",NA,NA
"405","QUEEN ANNES COUNTY SHERIFF DEPT",NA,NA
"418","US SECRET SERVICE ROWLEY TNG CTR",NA,NA
"470","UNIV OF SOUTHERN ME POLICE DEPT",NA,NA
"479","ALBION DEPT OF PUBLIC SAFETY",NA,NA
"495","BARRY COUNTY SHERIFF DEPT",NA,NA
"502","BISHOP INTL AIRPORT POLICE",NA,NA
"503","BLACKMAN-LEONI TWP DPS",NA,NA
"506","BUENA VISTA TOWNSHIP POLICE DEPT",NA,NA
"514","CENTERLINE DEPT OF PUBLIC SAFETY",NA,NA
"520","CLIO CITY POLICE DEPT",NA,NA
"536","EASTERN WAYNE CO REG RESP TEAM",NA,NA
"552","FRUITPORT TOWNSHIP POLICE DEPT",NA,NA
"563","GRAND TRAVERSE BAND TRIBAL POLICE",NA,NA
"565","GRATIOT COUNTY SHERIFF DEPT",NA,NA
"603","LENAWEE COUNTY SHERIFF DEPT",NA,NA
"605","LITTLE RIVER BAND TRIBAL POLICE",NA,NA
"606","LITTLE TRAVERSE BAY ODAWA PD",NA,NA
"613","MACOMB COUNTY SHERIFF DEPT",NA,NA
"692","SHERMAN TWP MARSHAL'S OFFICE",NA,NA
"709","US DEPT OF VA SAGINAW POLICE",NA,NA
"722","WESTERN MI UNIVERSITY POLICE",NA,NA
"730","ZILWAUKEE CITY POLICE DEPT",NA,NA
"823","KITTSON COUNTY SHERIFF DEPT",NA,NA
"883","PARKERS PRARIE POLICE DEPT",NA,NA
"894","RED LAKE COUNTY SHERIFF OFFICE",NA,NA
"922","STAPLES POLICE DEPT",NA,NA
"959","BARTON COUNTY SHERIFF DEPT",NA,NA
"984","CLAY COUNTY RANGER DIVISION",NA,NA
"985","CLEVER POLICE DEPT",NA,NA
"1001","EASTERN MO LAW ENFORCEMENT TRNG CTR",NA,NA
"1015","FRANKLIN COUNTY NARC ENF",NA,NA
"1020","GLADSTONE DEPT OF PUBLIC SAFETY",NA,NA
"1065","MID MO DRUG TASK FORCE",NA,NA
"1068","MIRAMIGUOA VILLAGE POLICE DEPT",NA,NA
"1077","MUSTANG DTF",NA,NA
"1091","ORRICK POLICE DEPT",NA,NA
"1113","SAINT GENEVIEVE CTY SHERIFF DEPT",NA,NA
"1121","SELIGMAN POLICE DEPT",NA,NA
"1124","SPRINGFIELD AIRPORT POLICE DEPT",NA,NA
"1128","TERRE DU LAC POLICE DEPT",NA,NA
"1159","FBI JACKSON DIV GULFPORT RES AGENCY",NA,NA
"1165","GRENADA COUNTY SHERIFF DEPT",NA,NA
"1170","HERNANDO POLICE DEPT",NA,NA
"1173","HOLMES COMMUNITY COLLEGE POLICE",NA,NA
"1180","LEFLORE COUNTY SHERIFF DEPT",NA,NA
"1205","SIMPSON COUNTY SHERIFF DEPT",NA,NA
"1212","US DOI NPS NATCHEZ TRACE PKWY",NA,NA
"1216","BEAVERHEAD CTY SHERIFF DEPT",NA,NA
"1218","BLACKFEET TRIBAL LAW ENFORCEMENT",NA,NA
"1221","BROADWATER CTY SHERIFF DEPT",NA,NA
"1234","FROMBERG POLICE DEPT",NA,NA
"1238","GLACIER CTY SHERIFF DEPT",NA,NA
"1248","MEAGHER CTY SHERIFF DEPT",NA,NA
"1254","MT DOJ GAMBLING CONTROL DIVISION",NA,NA
"1259","PETROLEUM CTY SHERIFF DEPT",NA,NA
"1261","POLSON POLICE DEPT",NA,NA
"1264","POWDER RIVER CTY SHERIFF DEPT",NA,NA
"1271","SWEET GRASS CTY SHERIFF DEPT",NA,NA
"1272","TETON CTY SHERIFF DEPT",NA,NA
"1282","ALBERT J ELLIS AIRPORT POLICE DEPT",NA,NA
"1287","ARBORETUM SPECIAL POLICE DEPT",NA,NA
"1302","BERTIE COUNTY SHERIFF'S OFFICE",NA,NA
"1342","CUMBERLAND COUNTY ALCOHOL ENF",NA,NA
"1344","DARE COUNTY SHERIFF DEPT",NA,NA
"1364","FORT FISHER HISTORIC SITE POLICE",NA,NA
"1376","GREATER ASHEVILLE REG AIRPORT DPS",NA,NA
"1437","NASH COUNTY ALCOHOLIC BEV CONTROL",NA,NA
"1510","TRIAD ALCOHOLIC BEV CONTROL LE",NA,NA
"1515","US DOI NPS BLUE RIDGE",NA,NA
"1526","WAKE MEDICAL CAMPUS POLICE",NA,NA
"1531","WESTERN CAROLINA UNIV POLICE DEPT",NA,NA
"1534","WILKES COUNTY SHERIFF DEPT",NA,NA
"1550","BOWMAN COUNTY SHERIFF DEPT",NA,NA
"1558","DHS USCBP USBP PORTAL STATION",NA,NA
"1582","ND ATTY GEN BUREAU OF CRIMINAL INV",NA,NA
"1583","ND DEPT OF CORRECTIONS",NA,NA
"1587","ND STATE COLLEGE OF SCIENCE POLICE",NA,NA
"1590","PEMBINA COUNTY SHERIFF DEPT",NA,NA
"1591","POWERS LAKE POLICE DEPT",NA,NA
"1606","WALSH COUNTY SHERIFF DEPT",NA,NA
"1633","NE STATE PATROL AIR DIVISION",NA,NA
"1634","NEMAHA COUNTY SHERIFF OFFICE",NA,NA
"1644","UNION PACIFIC RAILROAD POLICE DEPT",NA,NA
"1645","US DOI NPS MIDWEST REGION",NA,NA
"1668","WALKER RIVER TRIBAL POLICE DEPT",NA,NA
"1670","WASHOE COUNTY SHERIFF DEPT",NA,NA
"1729","TOWN OF EPPING NH POLICE DEPT",NA,NA
"1830","NJ TRANSIT POLICE",NA,NA
"1875","UNION COUNTY PROSECUTOR'S OFFICE LE",NA,NA
"1906","ISLETA PUEBLO TRIBAL POLICE DEPT",NA,NA
"1907","ISLETA TRIBAL POLICE DEPT",NA,NA
"1908","JICARILLA DNR",NA,NA
"1914","LUNA COUNTY SHERIFF DEPT",NA,NA
"1922","PUEBLO OF POJOAQUE TRIBAL PD",NA,NA
"1925","RED RIVER MARSHALS OFFICE",NA,NA
"1945","USDA FOREST SERVICE LEI SW REGION",NA,NA
"2031","TUCKAHOE VILLAGE POLICE DEPT",NA,NA
"2033","US DHS HIS",NA,NA
"2043","AMBERLEY VILLAGE POLICE DEPT",NA,NA
"2056","BAINBRIDGE TWP POLICE DEPT",NA,NA
"2072","BLAKESLEE POLICE DEPT",NA,NA
"2074","BLOOMVILLE POLICE DEPT",NA,NA
"2088","BUCHTEL POLICE DEPT",NA,NA
"2111","CLEVELAND METROPARKS RANGER DEPT",NA,NA
"2116","COLLEGE OF MT. ST  JOSEPH POLICE",NA,NA
"2147","EHOVE POLICE ACADEMY",NA,NA
"2180","GREATER CLEVELAND TRANSIT POLICE",NA,NA
"2186","HAMILTON CTY POLICE ASSN SWAT",NA,NA
"2200","HOCKING COLLEGE POLICE DEPT",NA,NA
"2223","LAKE CTY NARCOTICS AGENCY",NA,NA
"2253","MAHONING VALLEY CRISIS RESPONSE",NA,NA
"2261","MARYSVILLE DIVISION OF POLICE",NA,NA
"2290","MUSKINGUM CO SHERIFF DEPT",NA,NA
"2325","OSTRANDER DIVISION POLICE",NA,NA
"2367","ROCKY RIDGE POLICE DEPT",NA,NA
"2380","SCIOTO COUNTY SHERIFF'S OFFICE",NA,NA
"2387","SHAWNEE HILLS POLICE DEPT",NA,NA
"2396","SOUTHEAST OH NARC SWAT DEPT",NA,NA
"2413","SUMMA HEALTH POLICE PROTECTIVE SVCS",NA,NA
"2416","SYLVANIA POLICE DIVISON",NA,NA
"2417","SYLVANIA TWP POLICE DEPT",NA,NA
"2434","UNIV OF AKRON POLICE DEPT",NA,NA
"2435","UNIV OF CINCINNATI POLICE DEPT",NA,NA
"2436","UNIVERSITY HEIGHTS POLICE DEPT",NA,NA
"2437","UPPER ARLINGTON POLICE",NA,NA
"2438","UPPER SANDUSKY POLICE DEPT",NA,NA
"2439","US DHS ICE",NA,NA
"2440","US DOJ DEA WOOSTER MEDWAY",NA,NA
"2441","US DOJ FBI CINCINNATI DIVISION",NA,NA
"2442","US FBI CLEVELAND",NA,NA
"2443","US MARSHAL SVC COLUMBUS",NA,NA
"2444","USDA FOREST SERVICE LEI NELSONVILLE",NA,NA
"2445","VERMILION POLICE DEPT",NA,NA
"2446","VILLAGE OF BETHEL POLICE DEPT",NA,NA
"2447","VINTON CTY SHERIFF DEPT",NA,NA
"2448","WAITE HILL POLICE DEPT",NA,NA
"2449","WALBRIDGE POLICE DEPT",NA,NA
"2450","WALTON HILLS POLICE DEPT",NA,NA
