"","address","lon","lat"
"1","WAPAKONETA POLICE DEPT",-84.202876,40.577852
"2","WARREN CITY POLICE DEPT",-79.1493239,41.846499
"3","WARREN CTY SHERIFF'S OFFICE",-92.0641887,33.6143096
"4","WARREN TWP POLICE DEPT",-74.4906375,40.6185124
"5","WARRENSVILLE HEIGHTS FIRE INV",-81.5102655,41.4323067
"6","WARRENSVILLE HEIGHTS POLICE DEPT",-81.5368472,41.4969834
"7","WASHINGTON CTY SHERIFF OFFICE",-77.0541965,35.5437791
"8","WASHINGTON TWP PD TOLEDO",-83.5263035,41.7213019
"9","WASHINGTONVILLE POLICE DEPT",-74.1643917,41.4281437
"10","WAUSEON POLICE DEPT",-84.142669,41.5496
"11","WAYNE CTY SHERIFF DEPT",-82.4424791,38.2209071
"12","WAYNESFIELD POLICE DEPT",-83.976641,40.601731
"13","WELLS TWP POLICE DEPT",-98.0726903,27.7503035
"14","WELLSVILLE POLICE DEPT",-80.6518374,40.6008356
"15","WEST CARROLLTON POLICE DEPT",-84.248759,39.6724706
"16","WEST FARMINGTON POLICE DEPT",-93.1756509,44.6664917
"17","WEST JEFFERSON POLICE DEPT",-83.268181,39.945174
"18","WEST LIBERTY POLICE DEPT",-83.2599951,37.9209974
"19","WESTERVILLE POLICE DEPT",-82.9315594,40.1247931
"20","WHITEHALL POLICE DEPT",-75.4985652,40.6550717
"21","WHITEHOUSE POLICE DEPT",-95.2212273,32.2274537
"22","WICKLIFFE POLICE DEPT",-81.476642,41.595613
"23","WILLARD POLICE DEPT",-82.725709,41.050308
"24","WILLIAMS CO SHERIFF DEPT",-84.5533663,41.4761268
"25","WILLOUGHBY POLICE DEPT",-81.4326789,41.589735
"26","WINTERSVILLE POLICE DEPT",-80.6998909,40.3764568
"27","WOOD CTY SHERIFF DEPT",-81.5635512,39.2629476
"28","WOODLAWN POLICE DEPT",-84.4753586,39.251515
"29","WORTHINGTON  POLICE DEPT",-83.0162327,40.0977667
"30","WYANDOT CTY SHERIFF DEPT",-94.6282238,39.1131268
"31","YOUNGSTOWN POLICE DEPT",-80.6515825,41.1000628
"32","YOUNGSTOWN STATE UNIV PD",NA,NA
"33","YOUNGSTOWN STATE UNIV POLICE ACAD",NA,NA
"34","ADAIR CTY SHERIFF OFFICE",-92.5833198,40.1956861
"35","ALLEN POLICE DEPT",-96.6729282,33.1012406
"36","ALTUS POLICE DEPT",-99.3336988,34.6333669
"37","APACHE POLICE DEPT",-111.8932702,34.6209577
"38","ARNETT POLICE DEPT",-99.7680767,36.134764
"39","BARTLESVILLE POLICE DEPT",-95.9764391,36.7535683
"40","BECKHAM CCO SHERIFF DEPT",-99.8665463,35.2128565
"41","BERNICE POLICE DEPT",-92.6560574,32.8209541
